Anti-ID,1xA,1xB,40x,Total
Anti-ID 1,0.75,0.6667,0.6667,2.0834
Anti-ID 2,0.75,0.6667,0.3333,1.75
Anti-ID 3,1.0,1.0,0.5,2.5
Anti-ID 4,0.75,0.6667,0.5,1.9167
Anti-ID 5,0.75,1.0,0.6667,2.4167
Anti-ID 6,1.0,1.0,1.0,3.0
Anti-ID 7,0.25,1.0,0.6667,1.9167
Anti-ID 8,0.5,0.6667,0.8333,2.0
Anti-ID 9,1.0,0.6667,1.0,2.6667
Anti-ID 10,0.0,0.0,0.0,0.0
Anti-ID 11,0.0,0.0,0.0,0.0
Anti-ID 12,1.0,1.0,0.8333,2.8333
Anti-ID 13,0.75,0.6667,0.6667,2.0834
Anti-ID 14,0.25,1.0,0.3333,1.5833
Anti-ID 15,0.25,1.0,1.0,2.25
Anti-ID 16,0.25,0.3333,0.1667,0.7499999999999999
Anti-ID 17,0.75,0.6667,0.8333,2.25
Anti-ID 18,0.75,0.6667,0.6667,2.0834
