Anti-ID & Concentration,Soluble Antigen Interference,Matrix Interference,Combination Interference,Soluble Antigen in Matrix Interference,Total
Anti-ID 1 [100x],0.3333,0.5556,0.5556,0.5556,2.0001
Anti-ID 2 [100x],0.2222,0.5556,0.2222,0.2222,1.2222
Anti-ID 3 [100x],0.4444,0.4444,0.4444,0.4444,1.7776
Anti-ID 4 [100x],0.3333,0.2222,0.4444,0.5556,1.5555
Anti-ID 5 [100x],0.5556,0.5556,0.6667,0.6667,2.4446
Anti-ID 6 [100x],1.0,0.7778,1.0,0.8889,3.6667
Anti-ID 7 [100x],0.6667,0.7778,0.6667,0.5556,2.6668
Anti-ID 8 [100x],0.7778,0.5556,0.7778,0.8889,3.0001
Anti-ID 9 [100x],0.8889,1.0,1.0,0.6667,3.5556
Anti-ID 10 [100x],0.1111,0.1111,0.1111,0.1111,0.4444
Anti-ID 11 [100x],0.0,0.0,0.0,0.0,0.0
Anti-ID 12 [100x],0.7778,0.3333,0.8889,1.0,3.0
Anti-ID 13 [100x],0.4444,0.7778,0.6667,0.5556,2.4445
Anti-ID 14 [100x],0.3333,0.6667,0.3333,0.2222,1.5555
Anti-ID 15 [100x],0.7778,0.8889,1.0,0.7778,3.4445
Anti-ID 16 [100x],0.3333,0.6667,0.4444,0.3333,1.7777
Anti-ID 17 [100x],0.5556,0.4444,0.7778,0.8889,2.6667
Anti-ID 18 [100x],0.3333,0.7778,0.5556,0.4444,2.1111
Anti-ID 1 [10x],0.5556,0.8333,0.75,0.25,2.3889
Anti-ID 2 [10x],0.3333,0.3333,0.5,0.125,1.2916
Anti-ID 3 [10x],0.5556,0.5,0.75,0.25,2.0556
Anti-ID 4 [10x],0.5556,0.6667,0.75,0.25,2.2223
Anti-ID 5 [10x],0.5556,0.8333,0.75,0.25,2.3889
Anti-ID 6 [10x],0.7778,0.8333,1.0,0.875,3.4861
Anti-ID 7 [10x],0.3333,0.5,0.75,0.25,1.8333
Anti-ID 8 [10x],1.0,0.8333,1.0,1.0,3.8333
Anti-ID 9 [10x],0.6667,0.8333,0.75,0.5,2.75
Anti-ID 10 [10x],0.1111,0.1667,0.25,0.0,0.5278
Anti-ID 11 [10x],0.0,0.0,0.0,0.0,0.0
Anti-ID 12 [10x],0.7778,0.5,1.0,1.0,3.2778
Anti-ID 13 [10x],0.4444,0.5,0.75,0.375,2.0694
Anti-ID 14 [10x],0.2222,0.6667,0.5,0.0,1.3889
Anti-ID 15 [10x],0.6667,1.0,1.0,0.625,3.2917
Anti-ID 16 [10x],0.8889,0.6667,1.0,0.75,3.3056
Anti-ID 17 [10x],0.7778,0.8333,1.0,0.75,3.3611
Anti-ID 18 [10x],0.4444,0.8333,0.75,0.375,2.4027
Anti-ID 1 [1x],0.75,1.0,0.7143,0.6,3.0643
Anti-ID 2 [1x],1.0,0.4,0.5714,1.0,2.9714
Anti-ID 3 [1x],1.0,0.4,0.5714,1.0,2.9714
Anti-ID 4 [1x],1.0,0.6,0.7143,1.0,3.3143
Anti-ID 5 [1x],0.75,1.0,0.7143,0.8,3.2643
Anti-ID 6 [1x],1.0,1.0,1.0,1.0,4.0
Anti-ID 7 [1x],0.75,0.6,0.2857,0.4,2.0357
Anti-ID 8 [1x],0.75,1.0,1.0,0.8,3.55
Anti-ID 9 [1x],0.75,0.8,0.5714,0.8,2.9214
Anti-ID 10 [1x],1.0,0.2,0.4286,0.8,2.4286
Anti-ID 11 [1x],0.25,0.0,0.8571,0.2,1.3071
Anti-ID 12 [1x],1.0,0.8,0.7143,1.0,3.5143
Anti-ID 13 [1x],1.0,0.8,0.8571,1.0,3.6571
Anti-ID 14 [1x],0.5,0.4,0.1429,0.4,1.4429
Anti-ID 15 [1x],1.0,1.0,0.8571,1.0,3.8571
Anti-ID 16 [1x],0.0,0.6,0.0,0.0,0.6
Anti-ID 17 [1x],0.75,1.0,0.7143,0.8,3.2643
Anti-ID 18 [1x],1.0,0.8,0.7143,1.0,3.5143
